Timestamp,Page Number,CarID,UniqueURL,CarName,CarPrice,CarMileage,BuildMonth,BuildYear,Power,Usage,Transmission,Fuel
2021-06-29 12:35:47.699982,1,19,/nl/aanbod/ford-galaxy-tdi-futura-diesel-grijs-addd0a77-4bfe-4532-af06-435a81e93a68,Ford Galaxy,€ 95€ 950,320000 ,06,2004,96 ,Tweedehands,Manueel,Diesel
2021-06-29 12:35:50.205281,2,0,/nl/aanbod/toyota-yaris-1-33i-vvt-i-life-tva-deductible-5785-hors-tva-benzine-wit-5541c634-e42a-452c-9916-8ba711f85336,Toyota Yaris,€ 7000,110099 ,02,2016,73 ,Tweedehands,Manueel,Benzine
2021-06-29 12:35:50.251186,2,1,/nl/aanbod/peugeot-1007-1-4i-urban-benzine-zwart-b7ede5c5-7dcc-875b-e053-0100007ff138,Peugeot 1007,€ 2000,107100 ,05,2006,55 ,Tweedehands,Manueel,Benzine
2021-06-29 12:35:50.305015,2,2,/nl/aanbod/bmw-318-3-cabriolet-1998-benzine-blauw-2a94ad60-438f-4528-88ae-207db657b62e,BMW 318,€ 4850,161000 ,01,1998,85 ,Tweedehands,Manueel,Benzine
2021-06-29 12:35:50.394779,2,3,/nl/aanbod/porsche-macan-3-0-v6-bi-turbo-pdk-toit-pano-bose-sound-euro-6-diesel-zwart-e293316a-a75c-4927-b9fb-519c444842d1,Porsche Macan,€ 32950,184000 ,01,2015,190 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:35:50.463593,2,4,/nl/aanbod/skoda-fabia-1-2-cr-tdi-77-000-km-euro-5-airco-diesel-zwart-3a55920d-5dcd-47f2-838d-a2f3ab6b9671,Skoda Fabia,€ 4950,77000 ,12,2011,55 ,Tweedehands,Manueel,Diesel
2021-06-29 12:35:50.512508,2,5,/nl/aanbod/bmw-x5-3-0-da-xdrive30-diesel-zwart-48f7e5c5-03fa-8b5a-e053-0100007f32db,BMW X5,€ 17500,161000 ,12,2012,180 ,Tweedehands,Automatisch,Diesel
2021-06-29 12:35:50.561330,2,6,/nl/aanbod/suzuki-splash-1-2-comfort-benzine-blauw-a23e7e57-d344-46cc-9520-5524c8a13025,Suzuki Splash,€ 2550,149000 ,03,2010,63 ,Tweedehands,Manueel,Benzine
2021-06-29 12:35:50.623167,2,7,/nl/aanbod/ford-fiesta-1-0i-ecoboost-103kw-st-line-benzine-wit-7e7bf51b-84e4-4d60-aae9-8be34643784e,Ford Fiesta,€ 15889,3142 ,07,2020,103 ,Tweedehands,Manueel,Benzine
2021-06-29 12:35:50.696965,2,8,/nl/aanbod/citroen-c3-picasso-1-6-hdi-exclusive-fap-diesel-grijs-b7ede5c5-76cc-875b-e053-0100007ff138,Citroen C3 Picasso,€ 5200,153750 ,06,2011,68 ,Tweedehands,Manueel,Diesel
2021-06-29 12:35:50.784735,2,9,/nl/aanbod/peugeot-partner-1-6-hdi-utilitaire-diesel-wit-9b47ce48-942e-4c42-8b10-587bda0cb8a6,Peugeot Partner,€ 3500,240000 ,10,2012,68 ,Tweedehands,Manueel,Diesel
2021-06-29 12:36:01.000819,6,6,/nl/aanbod/seat-arona-1-0-tgi-cng-move-cng-zwart-540736aa-68d1-4ff2-a99e-dfbefd884ade,SEAT Arona,€ 20900,5000 ,10,2019,66 ,Tweedehands,Manueel,CNG
